mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-miR-34b-5p	0,3780790002143616	-2,283746286124099	2,6004756214808213	-0,8782033052952201	0,37983339861621274	1	1	1	1
hsa-miR-34c-5p	2,580210370108496	-0,4727306549750696	0,8290117496571222	-0,5702339625108934	0,5685190239229717	1	1	1	1
hsa-miR-34c-3p	0,9813119207105947	-0,09532348438742298	1,4550276060619334	-0,065513179262226	0,9477654133451481	1	1	1	1
hsa-miR-299-5p	4,327336457107764	-0,26936180484067684	0,6645762744129455	-0,4053136038878577	0,6852470080755315	1	1	1	1
hsa-miR-299-3p	1,3426023830273022	0,17479735440672658	1,1296489921198407	0,15473598934365526	0,8770294562926366	1	1	1	1
hsa-miR-301a-3p	241,69552726731848	0,11451435737996535	0,21216780382073608	0,5397348481616011	0,5893799037748719	1	1	1	1
hsa-miR-99b-5p	57,88822880626006	0,08517329422685607	0,22788631656759775	0,3737534377216158	0,708587764201275	1	1	1	1
hsa-miR-99b-3p	14,49477529169117	0,2184724095136701	0,2744754757330474	0,7959633148651669	0,4260533584164794	1	1	1	1
hsa-miR-296-3p	0,25471507650406805	-0,677188788726295	2,3476305293529127	-0,2884562882699227	0,7729974859812356	1	1	1	1
hsa-miR-130b-3p	25,253490923510448	0,2517968694476664	0,24337972485953294	1,034584411634911	0,30086303700766837	1	1	1	1
hsa-miR-30e-5p	28,491455209867453	0,09744106650592696	0,2840801257162679	0,34300557372763435	0,7315942670261546	1	1	1	1
hsa-miR-30e-3p	1,1507453730450032	0,7083555117044085	0,9797846501393636	0,7229706156385005	0,4696979373018662	1	1	1	1
hsa-miR-361-5p	47,661907928941694	-0,008772109662740295	0,15527667519215277	-0,056493415072707664	0,9549487411601387	1	1	1	1
hsa-miR-361-3p	15,118193146634518	0,14279243177234188	0,2781664036422075	0,5133345720499343	0,6077173044408851	1	1	1	1
hsa-miR-362-5p	290,92806568336476	-0,16304394165936364	0,2326795335987369	-0,7007231755094455	0,4834757899839415	1	1	1	1
hsa-miR-362-3p	0,3717987925832003	0,38560240453803796	2,0271393471253183	0,19021997924556092	0,8491367557702233	1	1	1	1
hsa-miR-365a-5p	0,3384618303329258	0,4706930649213468	2,3374214128386113	0,20137278726719962	0,8404070919705156	1	1	1	1
hsa-miR-365a-3p	3,1153610297081773	0,16610818880726574	0,7824335718886982	0,2122968578742104	0,83187544661858	1	1	1	1
hsa-miR-365b-5p	0,689543257048509	-1,420864708944871	1,5236542811135323	-0,9325374703154184	0,35105883146184613	1	1	1	1
hsa-miR-365b-3p	3,1153610297081773	0,16610818880726574	0,7824335718886982	0,2122968578742104	0,83187544661858	1	1	1	1
hsa-miR-374a-5p	1,9981020394161326	1,0315485067160335	0,8605530533330628	1,198704138833367	0,2306430081465716	1	1	1	1
