mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-652-3p	19.905726857834697	0.32251598660507547	0.3173588116010775	1.0162502971887877	0.30951021042258636	1
hsa-miR-548d-3p	3.9478914801482907	1.3329043537102294	1.1726278737188105	1.1366814516212433	0.2556714760502815	1
hsa-miR-663a	8.979917137724078	-0.059727615010765484	0.8605625920089158	-0.06940531178718337	0.9446670009228315	1
hsa-miR-449b-5p	6.418452842534724	0.9927684606846027	0.54130661634663	1.8340224019151383	0.06665066886183225	1
hsa-miR-411-5p	0.3317038398643587	1.4534256680629	2.34915106799222	0.6187025125230106	0.5361123545107322	1
hsa-miR-411-3p	0.2876816894477721	-0.3181380913680515	2.650662685181824	-0.12002209603906225	0.9044656443743762	1
hsa-miR-660-5p	1.5646413989028776	-1.756038206813467	1.2959622854395747	-1.3550071838840898	0.17541526822024306	1
hsa-miR-421	10.498713606169021	-0.7739030206388181	0.431293032759767	-1.7943786749504185	0.07275274828974276	1
hsa-miR-542-3p	12.901629224518478	0.1454792213960153	0.9644003762789842	0.1508494033954324	0.8800945138637801	1
hsa-miR-758-5p	0.34929820880361095	-1.2798360629750614	4.802342314139413	-0.266502464684134	0.7898522614798953	1
hsa-miR-671-5p	146.61765724931337	-0.1462834038371826	0.11936772725670786	-1.2254853736352949	0.22039239762706075	1
hsa-miR-671-3p	0.6334196067305377	-2.5159390769162098	2.3972382517953914	-1.049515656206436	0.29394085335305636	1
hsa-miR-668-3p	1.8323585752940412	0.9268062247893781	1.1068601916655285	0.8373290789280105	0.40240761831253324	1
hsa-miR-151b	2.412485433077513	0.2972293441982504	0.7809960244979385	0.38057728192576096	0.7035169413212695	1
hsa-miR-320b	30.534170788676683	0.04076405292943938	0.2269844596055516	0.17958962036554493	0.8574747539417811	1
hsa-miR-320c	4.959397606321005	0.9300395740849564	0.6229373766360443	1.4929904818158612	0.13543967842711085	1
hsa-miR-1296-5p	0.8920058069804045	-0.3063953463829364	1.4101956447656268	-0.2172715165588666	0.8279967533812356	1
hsa-miR-1296-3p	0.5866342933419728	-0.3080384324706374	2.3702220177237714	-0.12996184752619092	0.8965966118905425	1
hsa-miR-1271-3p	0.28661740695500837	-1.2798906797064582	3.5591589300342212	-0.3596048125038777	0.7191426841712713	1
hsa-miR-1301-3p	75.90913656317534	0.18327250338490697	0.24274854166479565	0.7549891015946147	0.45025552143235215	1
hsa-miR-454-5p	0.6560892202916041	-0.3230871098967504	2.0788315878417154	-0.15541764507830377	0.876492074421439	1
hsa-miR-454-3p	259.81839396257567	-0.20983910105282708	0.1770385498275566	-1.185273496971251	0.23590932875434417	1
hsa-miR-449c-5p	97.17768182058451	0.5530852962318458	0.3556656663677986	1.555070810967435	0.11992920576872185	1
hsa-miR-769-5p	11.98578691423503	-0.15173966683850335	0.37729550064503076	-0.40217724987201453	0.6875535839127614	1
hsa-miR-769-3p	0.4923771788280532	1.2690935349953578	2.371670262139912	0.5351053876478931	0.5925769846351361	1
hsa-miR-766-5p	0.3377214522246186	0.9070081299721984	2.325218594134756	0.39007434925046597	0.6964815697727739	1
hsa-miR-378d	1.6030583217614804	1.713188770187757	1.4739513942963316	1.1623102205521765	0.24510947652475717	1
hsa-miR-675-5p	0.3750396436362287	1.231612475805504	4.068100959430499	0.30274874888501285	0.7620813438446297	1
